country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,true_beta_0,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se,beta_0_hat,beta_0_se
BOLIVIA,PANDO,2015-10-04,nb,3,1.0,seir,central,1.0,0.3,0.202705,0.0,0.865179,0.260331,0.050491,0.323777,0.086582
BOLIVIA,PANDO,2015-10-04,nb,3,1.0,seir,alt,1.0,0.3,0.202705,14.313918,,0.498126,,28.602299,
BOLIVIA,PANDO,2015-10-04,nb,3,1.0,hostvector_tempmort,central,1.0,0.3,0.202705,0.210866,0.81566,0.230142,0.047763,0.167327,0.042355
BOLIVIA,PANDO,2015-10-04,nb,3,1.0,hostvector_tempmort,alt,1.0,0.3,0.202705,0.347322,0.967679,0.267188,0.058483,0.142055,0.042621
BOLIVIA,PANDO,2015-10-04,nb,3,0.75,hostvector,central,1.0,0.3,0.202705,0.0,1.244552,0.228955,0.102424,0.153748,0.059612
BOLIVIA,PANDO,2015-10-04,nb,3,0.75,hostvector,alt,1.0,0.3,0.202705,0.0,,0.248799,,0.125331,
BOLIVIA,PANDO,2015-10-04,nb,3,0.75,seir,central,1.0,0.3,0.202705,0.065719,1.412317,0.282399,0.137169,0.330144,0.145796
BOLIVIA,PANDO,2015-10-04,nb,3,0.75,seir,alt,1.0,0.3,0.202705,0.285787,1.426794,0.312276,0.143405,0.444115,0.197752
BOLIVIA,PANDO,2015-10-04,nb,3,0.75,hostvector_tempmort,central,1.0,0.3,0.202705,1e-06,1.245504,0.209463,0.105779,0.156675,0.060769
BOLIVIA,PANDO,2015-10-04,nb,3,0.75,hostvector_tempmort,alt,1.0,0.3,0.202705,0.0,0.593171,0.230298,0.056749,0.127617,0.023269
BOLIVIA,PANDO,2015-10-04,nb,5,1.0,hostvector,central,1.0,0.3,0.202705,0.01522,0.870316,0.271403,0.052127,0.164592,0.046756
BOLIVIA,PANDO,2015-10-04,nb,5,1.0,hostvector,alt,1.0,0.3,0.202705,0.087261,1.028336,0.29676,0.061517,0.137812,0.046384
BOLIVIA,PANDO,2015-10-04,nb,5,1.0,seir,central,1.0,0.3,0.202705,0.048531,0.981176,0.355474,0.070642,0.359781,0.114731
BOLIVIA,PANDO,2015-10-04,nb,5,1.0,seir,alt,1.0,0.3,0.202705,0.513634,1.124078,0.417806,0.090291,0.529424,0.193896
BOLIVIA,PANDO,2015-10-04,nb,5,1.0,hostvector_tempmort,central,1.0,0.3,0.202705,0.297597,0.864302,0.271906,0.053573,0.1833,0.051488
BOLIVIA,PANDO,2015-10-04,nb,5,1.0,hostvector_tempmort,alt,1.0,0.3,0.202705,0.389798,1.005703,0.299944,0.062404,0.154404,0.050571
