country,unit,window_start,observation,rain_lag,train_frac,structure,params,true_a_temp,true_a_rain,a_temp_hat,a_temp_se,a_rain_hat,a_rain_se
BOLIVIA,BENI,2021-12-05,nb,5,0.75,hostvector,central,1.0,0.3,2.385201,2.270167,0.001648,0.153648
BOLIVIA,BENI,2021-12-05,nb,5,0.75,hostvector,alt,1.0,0.3,3.232685,2.587622,-0.020209,0.174211
BOLIVIA,BENI,2021-12-05,nb,5,0.75,seir,central,1.0,0.3,3.817334,2.702613,-0.141821,0.156617
BOLIVIA,BENI,2021-12-05,nb,5,0.75,seir,alt,1.0,0.3,4.483687,2.984229,-0.190457,0.15372
BOLIVIA,BENI,2021-12-05,nb,5,0.75,hostvector_tempmort,central,1.0,0.3,2.483524,2.273814,-0.001739,0.152906
BOLIVIA,BENI,2021-12-05,nb,5,0.75,hostvector_tempmort,alt,1.0,0.3,3.332279,2.587719,-0.024787,0.173008
BOLIVIA,BENI,2021-12-05,nb,7,1.0,hostvector,central,1.0,0.3,2.196678,1.33679,-0.174011,0.054158
BOLIVIA,BENI,2021-12-05,nb,7,1.0,hostvector,alt,1.0,0.3,2.389543,1.496024,-0.191033,0.064812
BOLIVIA,BENI,2021-12-05,nb,7,1.0,seir,central,1.0,0.3,2.561777,1.621923,-0.220409,0.052519
BOLIVIA,BENI,2021-12-05,nb,7,1.0,seir,alt,1.0,0.3,2.869083,1.827944,-0.223183,0.052293
BOLIVIA,BENI,2021-12-05,nb,7,1.0,hostvector_tempmort,central,1.0,0.3,2.222223,1.33526,-0.177574,0.053743
BOLIVIA,BENI,2021-12-05,nb,7,1.0,hostvector_tempmort,alt,1.0,0.3,2.428243,1.49565,-0.193914,0.064059
BOLIVIA,BENI,2021-12-05,nb,7,0.75,hostvector,central,1.0,0.3,1.398102,0.965467,-0.280968,0.053704
BOLIVIA,BENI,2021-12-05,nb,7,0.75,hostvector,alt,1.0,0.3,1.57839,1.067542,-0.307809,0.06151
BOLIVIA,BENI,2021-12-05,nb,7,0.75,seir,central,1.0,0.3,1.264824,1.308371,-0.326019,0.051145
BOLIVIA,BENI,2021-12-05,nb,7,0.75,seir,alt,1.0,0.3,1.254848,1.452547,-0.319153,0.050581
BOLIVIA,BENI,2021-12-05,nb,7,0.75,hostvector_tempmort,central,1.0,0.3,1.442279,0.966939,-0.279987,0.05344
